dataset,tiers,baseline,method,mean_aurc_delta,ci_lo,ci_hi,excludes_zero,beats_baseline,mean_ci_lo,mean_ci_hi,mean_effect_excludes_zero,mean_effect_beats_baseline,n_seeds,n_boot_total
adult,ABC,signal_msp,A0_rank,0.002033573165491186,0.0005624348375424819,0.0038707290863064354,True,False,0.0016646058284750479,0.0023932248708780765,True,False,10,10000
adult,ABC,signal_msp,A1_lightgbm,0.0024129768252798586,0.0007283583011972628,0.004394694745329435,True,False,0.0020257815807058835,0.0027913823216351116,True,False,10,10000
adult,ABC,signal_msp,A1_logreg,-0.000515571977598908,-0.0013411320459851422,0.00043223289936194847,False,False,-0.0006954409454696902,-0.0003591143627780041,True,True,10,10000
adult,ABC,signal_msp,A1_logreg_naive_meta,-0.0003468871399547586,-0.0011156736290369486,0.00043036523323867804,False,False,-0.0005331896448935399,-0.00016190570393340153,True,True,10,10000
adult,ABC,signal_msp,A2_adaptive_loss3,0.0007417349220932781,-0.0004181567457673673,0.002693184932784953,False,False,0.00043592448770035316,0.0010694668387268512,True,False,10,10000
adult,ABC,signal_msp,A2_mlp_bce,0.00012824345523703776,-0.0012015055318332578,0.0030642013411192825,False,False,-0.00022890556057887743,0.0005493290078924635,False,False,10,10000
adult,ABC,signal_msp,A2_mlp_loss1,0.0038819979724594874,0.0017197618676837818,0.006461695257644422,True,False,0.0034716872194891493,0.004289672117223909,True,False,10,10000
adult,ABC,signal_msp,A2_mlp_loss2,0.0011350232730107238,-0.000598064079281154,0.004473502979326309,False,False,0.0007532069693004616,0.0015823323688583025,True,False,10,10000
adult,ABC,signal_msp,A2_mlp_loss3,5.914592804391852e-05,-0.0011241497586988514,0.002983660414348017,False,False,-0.00027048316534649666,0.00040093864544689904,False,False,10,10000
adult,ABC,signal_msp,A2_rl_bandit,0.0007678262765736856,-0.0007645090822648721,0.0035686999511107616,False,False,0.00040535705363698674,0.001206411317511331,True,False,10,10000
adult,ABC,signal_msp,A2_rl_c0.5,0.15648677871784464,0.12204266759052021,0.20077812266138506,True,False,0.15235624786469573,0.1610389892049265,True,False,10,10000
adult,ABC,signal_msp,A2_rl_c1.0,0.1312388470455937,0.09051607208313196,0.18023097060510962,True,False,0.12761540460276585,0.1354067595611178,True,False,10,10000
adult,ABC,signal_msp,A2_rl_c10.0,0.0007682250561181009,-0.0007508620973195449,0.0036241843003488924,False,False,0.00039599035615711653,0.0011614505688018796,True,False,10,10000
adult,ABC,signal_msp,A2_rl_c3.0,0.005831783034129565,0.0013279133726417753,0.012287130551109245,True,False,0.005002078059281179,0.0067429234796704185,True,False,10,10000
