dataset,tiers,baseline,method,mean_aurc_delta,ci_lo,ci_hi,excludes_zero,beats_baseline,mean_ci_lo,mean_ci_hi,mean_effect_excludes_zero,mean_effect_beats_baseline,n_seeds,n_boot_total
adult,AC,signal_msp,A0_rank,0.0029846270850091153,0.001501185806122361,0.004787089958591789,True,False,0.00265961098282598,0.0033134868399270112,True,False,10,15000
adult,AC,signal_msp,A1_lightgbm,0.0036969883304125693,0.0019123809091285181,0.0054408155150759375,True,False,0.0033244759080938175,0.004088949469657982,True,False,10,15000
adult,AC,signal_msp,A1_logreg,0.000265666286684817,-0.00023252093588965668,0.0011718017045728084,False,False,0.0001527816392635033,0.00036750259067868263,True,False,10,15000
adult,AC,signal_msp,A1_logreg_naive_meta,0.00039793543920489964,-0.00021542642944687032,0.0012342747218300023,False,False,0.00027089428210844407,0.0005216549126395032,True,False,10,15000
adult,AC,signal_msp,A2_adaptive_loss3,0.0018579160065904476,0.0004790629344709623,0.007126438233772184,True,False,0.0014375571787878763,0.0023426258122547492,True,False,10,15000
adult,AC,signal_msp,A2_mlp_bce,0.0007600764939885039,-0.0001954730692195426,0.002048570977043947,False,False,0.0005562068645525686,0.0009744503767085934,True,False,10,15000
adult,AC,signal_msp,A2_mlp_loss1,0.0031013832920336747,0.0008727703657918083,0.00610550024804368,True,False,0.0027676621348655134,0.0034680368502757707,True,False,10,15000
adult,AC,signal_msp,A2_mlp_loss2,0.0014373663033676123,4.9802008872078875e-05,0.004792403775947304,True,False,0.001203875071953397,0.0016869934202740908,True,False,10,15000
adult,AC,signal_msp,A2_mlp_loss3,0.00081235402744552,-0.00025654196320660627,0.0019729784590175616,False,False,0.0006166694997484392,0.0010098129272707924,True,False,10,15000
adult,AC,signal_msp,oracle,-0.021460999312684876,-0.024737958593693824,-0.01880529546576867,True,True,-0.02217382130966858,-0.02073952224891077,True,True,10,15000
adult,AC,signal_msp,random,0.09827180176841072,0.08652454675143041,0.10984321719031573,True,False,0.09523121017425933,0.10116717781085507,True,False,10,15000
adult,AC,signal_msp,signal_calib_residual,0.02347309435956821,0.015261356485406165,0.03528699228737518,True,False,0.022226155760538185,0.024715396603127448,True,False,10,15000
adult,AC,signal_msp,signal_energy,7.822762762568538e-09,-5.6878875927778016e-08,9.656892496923835e-08,False,False,-9.683189954789659e-09,2.903611443612166e-08,False,False,10,15000
adult,AC,signal_msp,signal_entropy,9.288570036211641e-09,-3.7262031914869764e-08,9.318943194544516e-08,False,False,-5.302801785161265e-09,2.8063176685071117e-08,False,False,10,15000
adult,AC,signal_msp,signal_knn_distance,0.12964815538943042,0.11716185536172326,0.14173623632809926,True,False,0.12598798793189095,0.13308639192151778,True,False,10,15000
adult,AC,signal_msp,signal_local_label_agreement,0.019235644445543938,0.014390740594754772,0.024611607714409855,True,False,0.018054687919192805,0.020525613329401275,True,False,10,15000
adult,AC,signal_msp,signal_mahalanobis,0.130478270863567,0.117414579311696,0.1437452400628634,True,False,0.12674360938850926,0.13413983520489256,True,False,10,15000
adult,AC,signal_msp,signal_margin_logit,9.98466224818445e-10,0.0,1.982885407120216e-08,False,False,0.0,7.90936704480119e-09,False,False,10,15000
adult,AC,signal_msp,signal_margin_prob,2.1521406989843485e-09,0.0,2.726903231709682e-08,False,False,0.0,1.0829207050516015e-08,False,False,10,15000
adult,AC,signal_msp,signal_temp_msp,1.3143976764858993e-09,0.0,0.0,False,False,0.0,1.0647283783075945e-08,False,False,10,15000
adult,AC,signal_msp,signal_trust_score,0.04677744190481669,0.03852970474695551,0.055825500457841154,True,False,0.04493063307549045,0.048678202078941545,True,False,10,15000
electricity,AC,signal_msp,A0_rank,0.002326230202672,-0.0016000605786844423,0.0069439625228700725,False,False,0.00143978381220935,0.0032643122374743233,True,False,10,15000
