method,mean_rank
oracle,1.0
A1_logreg,6.166666666666667
signal_entropy,8.208333333333334
signal_msp,8.291666666666666
signal_margin_prob,8.625
A1_logreg_naive_meta,8.666666666666666
signal_temp_msp,8.708333333333334
signal_margin_logit,8.958333333333334
A0_rank,9.0
signal_energy,10.958333333333334
A2_mlp_loss2,11.583333333333334
A2_mlp_bce,13.916666666666666
A2_adaptive_loss3,14.333333333333334
A2_mlp_loss3,14.583333333333334
signal_ensemble_topclass_variance,14.666666666666666
A2_rl_c10.0,15.916666666666666
A2_rl_bandit,15.916666666666666
signal_ensemble_mean_pairwise_kl,16.333333333333332
A1_lightgbm,16.5
signal_trust_score,16.583333333333332
A2_mlp_loss1,17.833333333333332
A2_rl_c3.0,19.0
A2_rl_linear,20.583333333333332
signal_local_label_agreement,21.25
signal_calib_residual,22.166666666666668
signal_knn_distance,26.5
signal_ensemble_vote_entropy,26.75
signal_mahalanobis,27.0
A2_rl_c1.0,27.666666666666668
random,28.5
A2_rl_c0.5,29.833333333333332
