dataset,coverage_threshold,baseline,method,mean_gap_delta,p_value,p_value_holm,significant_at_0.05,narrows_disparity
adult,max_min_gap@0.8,signal_msp,A0_rank,0.021385926381945437,0.001953125,0.048828125,True,False
adult,max_min_gap@0.8,signal_msp,A1_lightgbm,0.012405323927879644,0.001953125,0.048828125,True,False
adult,max_min_gap@0.8,signal_msp,A1_logreg,0.001537942282450875,0.130859375,0.16796875,False,False
adult,max_min_gap@0.8,signal_msp,A1_logreg_naive_meta,0.002408018362774918,0.02734375,0.095703125,False,False
adult,max_min_gap@0.8,signal_msp,A2_adaptive_loss3,0.006746136733192179,0.00390625,0.048828125,True,False
adult,max_min_gap@0.8,signal_msp,A2_mlp_bce,0.002486633946307567,0.013671875,0.095703125,False,False
adult,max_min_gap@0.8,signal_msp,A2_mlp_loss1,0.021844838737028593,0.001953125,0.048828125,True,False
adult,max_min_gap@0.8,signal_msp,A2_mlp_loss2,0.007064490940684185,0.013671875,0.095703125,False,False
adult,max_min_gap@0.8,signal_msp,A2_mlp_loss3,0.001912938318730719,0.083984375,0.16796875,False,False
adult,max_min_gap@0.8,signal_msp,A2_rl_bandit,0.005542054847529945,0.005859375,0.052734375,False,False
adult,max_min_gap@0.8,signal_msp,A2_rl_c0.5,0.07066598708961724,0.001953125,0.048828125,True,False
adult,max_min_gap@0.8,signal_msp,A2_rl_c1.0,0.06618144033658435,0.001953125,0.048828125,True,False
adult,max_min_gap@0.8,signal_msp,A2_rl_c10.0,0.005542054847529945,0.005859375,0.052734375,False,False
adult,max_min_gap@0.8,signal_msp,A2_rl_c3.0,0.003296852419542525,0.013671875,0.095703125,False,False
adult,max_min_gap@0.8,signal_msp,A2_rl_linear,0.0033477203581440363,0.013671875,0.095703125,False,False
adult,max_min_gap@0.8,signal_msp,oracle,-0.0416799503027095,0.001953125,0.048828125,True,True
adult,max_min_gap@0.8,signal_msp,random,0.054643135388024976,0.001953125,0.048828125,True,False
adult,max_min_gap@0.8,signal_msp,signal_calib_residual,0.03956397902574995,0.001953125,0.048828125,True,False
adult,max_min_gap@0.8,signal_msp,signal_ensemble_mean_pairwise_kl,0.046584725256178725,0.001953125,0.048828125,True,False
adult,max_min_gap@0.8,signal_msp,signal_ensemble_topclass_variance,0.032361986587937035,0.001953125,0.048828125,True,False
adult,max_min_gap@0.8,signal_msp,signal_ensemble_vote_entropy,0.043482476622337764,0.001953125,0.048828125,True,False
