dataset,baseline,method,mean_aurc_delta,p_value,p_value_holm,significant_at_0.05
adult,signal_msp,A0_rank,0.0020243601323936284,0.001953125,0.048828125,True
adult,signal_msp,A1_lightgbm,0.0024196470065743774,0.001953125,0.048828125,True
adult,signal_msp,A1_logreg,-0.0005169283340136357,0.00390625,0.048828125,True
adult,signal_msp,A1_logreg_naive_meta,-0.0003462066162343232,0.005859375,0.048828125,True
adult,signal_msp,A2_adaptive_loss3,0.0007404606960199876,0.001953125,0.048828125,True
adult,signal_msp,A2_mlp_bce,0.0001430987241395145,0.921875,1.0,False
adult,signal_msp,A2_mlp_loss1,0.003892966097262558,0.001953125,0.048828125,True
adult,signal_msp,A2_mlp_loss2,0.0011127971800484633,0.083984375,0.419921875,False
adult,signal_msp,A2_mlp_loss3,6.17498278901063e-05,0.625,1.0,False
adult,signal_msp,A2_rl_bandit,0.0007409850715172899,0.10546875,0.421875,False
adult,signal_msp,A2_rl_c0.5,0.156532488067528,0.001953125,0.048828125,True
adult,signal_msp,A2_rl_c1.0,0.13129774008769432,0.001953125,0.048828125,True
adult,signal_msp,A2_rl_c10.0,0.0007409850715172899,0.10546875,0.421875,False
adult,signal_msp,A2_rl_c3.0,0.005827700935305785,0.001953125,0.048828125,True
adult,signal_msp,A2_rl_linear,0.008421501528209665,0.001953125,0.048828125,True
adult,signal_msp,oracle,-0.021595560304430328,0.001953125,0.048828125,True
adult,signal_msp,random,0.09682523526895251,0.001953125,0.048828125,True
adult,signal_msp,signal_calib_residual,0.023009462170679597,0.001953125,0.048828125,True
adult,signal_msp,signal_ensemble_mean_pairwise_kl,0.01861509889921612,0.001953125,0.048828125,True
adult,signal_msp,signal_ensemble_topclass_variance,0.0061411094075642676,0.001953125,0.048828125,True
adult,signal_msp,signal_ensemble_vote_entropy,0.08161641782856535,0.001953125,0.048828125,True
adult,signal_msp,signal_knn_distance,0.1364563672265965,0.001953125,0.048828125,True
adult,signal_msp,signal_local_label_agreement,0.011219721613609802,0.001953125,0.048828125,True
adult,signal_msp,signal_mahalanobis,0.1318001486549401,0.001953125,0.048828125,True
adult,signal_msp,signal_trust_score,0.02985574560232948,0.001953125,0.048828125,True
bank_marketing,signal_msp,A0_rank,0.00042704486786728483,0.001953125,0.048828125,True
bank_marketing,signal_msp,A1_lightgbm,0.0017900021324162422,0.001953125,0.048828125,True
bank_marketing,signal_msp,A1_logreg,0.00015782119971448957,0.322265625,0.322265625,False
bank_marketing,signal_msp,A1_logreg_naive_meta,0.0003007065508026383,0.001953125,0.048828125,True
bank_marketing,signal_msp,A2_adaptive_loss3,0.0008538357056026846,0.001953125,0.048828125,True
bank_marketing,signal_msp,A2_mlp_bce,0.00040666514450037885,0.048828125,0.146484375,False
bank_marketing,signal_msp,A2_mlp_loss1,0.0015901121634067101,0.001953125,0.048828125,True
